Ses-Frm,V1,V2,V3,V4,V5,H1,H2,H3,H4,H5,GH,GV,R1,R2,R3,R4,Puck
"(1, 1)","(1625, 505)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1831, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1635, 526)"
"(1, 2)","(1633, 501)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1834, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1638, 524)"
"(1, 3)","(1639, 494)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1834, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1643, 521)"
"(1, 4)","(1662, 511)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1835, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1649, 517)"
"(1, 5)","(1667, 507)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1835, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1653, 515)"
"(1, 6)","(1671, 503)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1837, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1659, 510)"
"(1, 7)","(1678, 500)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1838, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1666, 508)"
"(1, 8)","(1683, 497)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1842, 466)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1671, 503)"
"(1, 9)","(1689, 495)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1842, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1675, 499)"
"(1, 10)","(1693, 491)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1842, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1681, 497)"
"(1, 11)","(1698, 488)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1842, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1685, 494)"
"(1, 12)","(1703, 485)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1841, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1691, 490)"
"(1, 13)","(1695, 460)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1842, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1698, 486)"
"(1, 14)","(1700, 457)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1842, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1704, 484)"
"(1, 15)","(1706, 456)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1843, 462)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1723, 480)"
"(1, 16)","(1715, 453)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1844, 467)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1744, 477)"
"(1, 17)","(1738, 461)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1850, 464)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1744, 477)"
"(1, 18)","(1749, 456)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1852, 466)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1744, 477)"
"(1, 19)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1744, 477)"
"(1, 20)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(1744, 477)"
